interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
ADAM10_CD44	ADAM10_CD44	ADAM10	ADAM10	CD44					celltalkdb_18971959		ADAM10_CD44
ADAM10_EPHA3	ADAM10_EPHA3	ADAM10	ADAM10	EPHA3					celltalkdb_16239146		ADAM10_EPHA3
ADAM10_GPNMB	ADAM10_GPNMB	ADAM10	ADAM10	GPNMB					celltalkdb_26581806		ADAM10_GPNMB
ADAM10_IL6R	ADAM10_IL6R	ADAM10	ADAM10	IL6R					celltalkdb_21454673		ADAM10_IL6R
ADAM10_MET	ADAM10_MET	ADAM10	ADAM10	MET					celltalkdb_22689693		ADAM10_MET
ADAM10_NOTCH1	ADAM10_NOTCH1	ADAM10	ADAM10	NOTCH1					celltalkdb_22399336		ADAM10_NOTCH1
ADAM10_NOTCH2	ADAM10_NOTCH2	ADAM10	ADAM10	NOTCH2					celltalkdb_24842903		ADAM10_NOTCH2
ADAM10_NRCAM	ADAM10_NRCAM	ADAM10	ADAM10	NRCAM					celltalkdb_30833305		ADAM10_NRCAM
ADAM10_TREM2	ADAM10_TREM2	ADAM10	ADAM10	TREM2					celltalkdb_28923481		ADAM10_TREM2
ADAM10_TSPAN10	ADAM10_TSPAN10	ADAM10	ADAM10	TSPAN10					celltalkdb_28687716		ADAM10_TSPAN10
ADAM10_TSPAN12	ADAM10_TSPAN12	ADAM10	ADAM10	TSPAN12					celltalkdb_19587294		ADAM10_TSPAN12
ADAM10_TSPAN14	ADAM10_TSPAN14	ADAM10	ADAM10	TSPAN14					celltalkdb_30013551		ADAM10_TSPAN14
ADAM10_TSPAN15	ADAM10_TSPAN15	ADAM10	ADAM10	TSPAN15					celltalkdb_23035126		ADAM10_TSPAN15
ADAM10_TSPAN17	ADAM10_TSPAN17	ADAM10	ADAM10	TSPAN17					celltalkdb_23035126		ADAM10_TSPAN17
ADAM10_TSPAN5	ADAM10_TSPAN5	ADAM10	ADAM10	TSPAN5					celltalkdb_28428248		ADAM10_TSPAN5
ADAM12_ITGA9	ADAM12_ITGA9	ADAM12	ADAM12	ITGA9					celltalkdb_10944520		ADAM12_ITGA9
ADAM12_ITGB1	ADAM12_ITGB1	ADAM12	ADAM12	ITGB1					celltalkdb_10944520		ADAM12_ITGB1
ADAM12_SDC4	ADAM12_SDC4	ADAM12	ADAM12	SDC4					celltalkdb_12509413		ADAM12_SDC4
ADAM15_ITGA5	ADAM15_ITGA5	ADAM15	ADAM15	ITGA5					celltalkdb_9914169		ADAM15_ITGA5
ADAM15_ITGA9	ADAM15_ITGA9	ADAM15	ADAM15	ITGA9					celltalkdb_10944520		ADAM15_ITGA9
ADAM15_ITGAV	ADAM15_ITGAV	ADAM15	ADAM15	ITGAV					celltalkdb_9914169		ADAM15_ITGAV
ADAM15_ITGB1	ADAM15_ITGB1	ADAM15	ADAM15	ITGB1					celltalkdb_9914169		ADAM15_ITGB1
ADAM15_ITGB3	ADAM15_ITGB3	ADAM15	ADAM15	ITGB3					celltalkdb_9516430		ADAM15_ITGB3
ADAM17_ERBB4	ADAM17_ERBB4	ADAM17	ADAM17	ERBB4					celltalkdb_26554003		ADAM17_ERBB4
ADAM17_IL6R	ADAM17_IL6R	ADAM17	ADAM17	IL6R					celltalkdb_22575642		ADAM17_IL6R
ADAM17_ITGA5	ADAM17_ITGA5	ADAM17	ADAM17	ITGA5					celltalkdb_14970227		ADAM17_ITGA5
ADAM17_ITGB1	ADAM17_ITGB1	ADAM17	ADAM17	ITGB1					celltalkdb_14970227		ADAM17_ITGB1
ADAM17_MET	ADAM17_MET	ADAM17	ADAM17	MET					celltalkdb_22689693		ADAM17_MET
ADAM17_MUC1	ADAM17_MUC1	ADAM17	ADAM17	MUC1					celltalkdb_12441351		ADAM17_MUC1
ADAM17_NOTCH1	ADAM17_NOTCH1	ADAM17	ADAM17	NOTCH1					celltalkdb_10882063		ADAM17_NOTCH1
ADAM17_RHBDF2	ADAM17_RHBDF2	ADAM17	ADAM17	RHBDF2					celltalkdb_28104813		ADAM17_RHBDF2
ADAM28_ITGA4	ADAM28_ITGA4	ADAM28	ADAM28	ITGA4					celltalkdb_11724793		ADAM28_ITGA4
ADAM2_CD9	ADAM2_CD9	ADAM2	ADAM2	CD9					celltalkdb_10518536		ADAM2_CD9
ADAM2_ITGA6	ADAM2_ITGA6	ADAM2	ADAM2	ITGA6					celltalkdb_9889149		ADAM2_ITGA6
ADAM2_ITGA9	ADAM2_ITGA9	ADAM2	ADAM2	ITGA9					celltalkdb_21060781		ADAM2_ITGA9
ADAM2_ITGB1	ADAM2_ITGB1	ADAM2	ADAM2	ITGB1					celltalkdb_9889149		ADAM2_ITGB1
ADAM2_ITGB7	ADAM2_ITGB7	ADAM2	ADAM2	ITGB7					celltalkdb_21060781		ADAM2_ITGB7
ADAM9_ITGA3	ADAM9_ITGA3	ADAM9	ADAM9	ITGA3					celltalkdb_15361064		ADAM9_ITGA3
ADAM9_ITGA6	ADAM9_ITGA6	ADAM9	ADAM9	ITGA6					celltalkdb_10825303		ADAM9_ITGA6
ADAM9_ITGAV	ADAM9_ITGAV	ADAM9	ADAM9	ITGAV					celltalkdb_11162558		ADAM9_ITGAV
ADAM9_ITGB1	ADAM9_ITGB1	ADAM9	ADAM9	ITGB1					celltalkdb_10825303		ADAM9_ITGB1
ADAM9_ITGB5	ADAM9_ITGB5	ADAM9	ADAM9	ITGB5					celltalkdb_11162558		ADAM9_ITGB5
ADAMTS3_CCBE1	ADAMTS3_CCBE1	ADAMTS3	ADAMTS3	CCBE1					celltalkdb_27159393		ADAMTS3_CCBE1
ADA_DPP4	ADA_DPP4	ADA	ADA	DPP4					celltalkdb_15213224		ADA_DPP4
ADCYAP1_ADCYAP1R1	ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1	ADCYAP1R1					celltalkdb_10100920		ADCYAP1_ADCYAP1R1
ADCYAP1_ADRB2	ADCYAP1_ADRB2	ADCYAP1	ADCYAP1	ADRB2					celltalkdb_32196115		ADCYAP1_ADRB2
ADCYAP1_ADRB3	ADCYAP1_ADRB3	ADCYAP1	ADCYAP1	ADRB3					celltalkdb_32196115		ADCYAP1_ADRB3
ADCYAP1_DPP4	ADCYAP1_DPP4	ADCYAP1	ADCYAP1	DPP4					celltalkdb_29451201,16406202		ADCYAP1_DPP4
ADCYAP1_GPR20	ADCYAP1_GPR20	ADCYAP1	ADCYAP1	GPR20					celltalkdb_32196115		ADCYAP1_GPR20
ADCYAP1_GPR84	ADCYAP1_GPR84	ADCYAP1	ADCYAP1	GPR84					celltalkdb_32196115		ADCYAP1_GPR84
ADCYAP1_PTH1R	ADCYAP1_PTH1R	ADCYAP1	ADCYAP1	PTH1R					celltalkdb_32196115		ADCYAP1_PTH1R
ADCYAP1_RAMP2	ADCYAP1_RAMP2	ADCYAP1	ADCYAP1	RAMP2					celltalkdb_23745705		ADCYAP1_RAMP2
ADCYAP1_RAMP3	ADCYAP1_RAMP3	ADCYAP1	ADCYAP1	RAMP3					celltalkdb_23745705		ADCYAP1_RAMP3
ADCYAP1_SCTR	ADCYAP1_SCTR	ADCYAP1	ADCYAP1	SCTR					celltalkdb_1335692		ADCYAP1_SCTR
ADCYAP1_TSHR	ADCYAP1_TSHR	ADCYAP1	ADCYAP1	TSHR					celltalkdb_32196115		ADCYAP1_TSHR
ADCYAP1_VIPR1	ADCYAP1_VIPR1	ADCYAP1	ADCYAP1	VIPR1					celltalkdb_11897681		ADCYAP1_VIPR1
ADCYAP1_VIPR2	ADCYAP1_VIPR2	ADCYAP1	ADCYAP1	VIPR2					celltalkdb_9928018		ADCYAP1_VIPR2
ADIPOQ_ADIPOR1	ADIPOQ_ADIPOR1	ADIPOQ	ADIPOQ	ADIPOR1					celltalkdb_12802337		ADIPOQ_ADIPOR1
ADIPOQ_ADIPOR2	ADIPOQ_ADIPOR2	ADIPOQ	ADIPOQ	ADIPOR2					celltalkdb_12802337		ADIPOQ_ADIPOR2
ADIPOQ_CNR2	ADIPOQ_CNR2	ADIPOQ	ADIPOQ	CNR2					celltalkdb_32103204		ADIPOQ_CNR2
ADIPOQ_GPR42	ADIPOQ_GPR42	ADIPOQ	ADIPOQ	GPR42					celltalkdb_32103204		ADIPOQ_GPR42
ADM2_ADCYAP1R1	ADM2_ADCYAP1R1	ADM2	ADM2	ADCYAP1R1					celltalkdb_32196115		ADM2_ADCYAP1R1
ADM2_ADRB2	ADM2_ADRB2	ADM2	ADM2	ADRB2					celltalkdb_32196115		ADM2_ADRB2
ADM2_ADRB3	ADM2_ADRB3	ADM2	ADM2	ADRB3					celltalkdb_32196115		ADM2_ADRB3
ADM2_CALCR	ADM2_CALCR	ADM2	ADM2	CALCR					celltalkdb_15692146		ADM2_CALCR
ADM2_CALCRL	ADM2_CALCRL	ADM2	ADM2	CALCRL					celltalkdb_14615490		ADM2_CALCRL
ADM2_GPR20	ADM2_GPR20	ADM2	ADM2	GPR20					celltalkdb_32196115		ADM2_GPR20
ADM2_GPR84	ADM2_GPR84	ADM2	ADM2	GPR84					celltalkdb_32196115		ADM2_GPR84
ADM2_PTH1R	ADM2_PTH1R	ADM2	ADM2	PTH1R					celltalkdb_32196115		ADM2_PTH1R
ADM2_RAMP1	ADM2_RAMP1	ADM2	ADM2	RAMP1					celltalkdb_12684503		ADM2_RAMP1
ADM2_RAMP2	ADM2_RAMP2	ADM2	ADM2	RAMP2					celltalkdb_32196115		ADM2_RAMP2
ADM2_RAMP3	ADM2_RAMP3	ADM2	ADM2	RAMP3					celltalkdb_27013657		ADM2_RAMP3
ADM2_TSHR	ADM2_TSHR	ADM2	ADM2	TSHR					celltalkdb_32196115		ADM2_TSHR
ADM2_VIPR1	ADM2_VIPR1	ADM2	ADM2	VIPR1					celltalkdb_32196115		ADM2_VIPR1
ADML_RAMP3	ADML_RAMP3	ADML	ADML	RAMP3					cellphonedb_uniprot		ADML_RAMP3
ADM_ADCYAP1R1	ADM_ADCYAP1R1	ADM	ADM	ADCYAP1R1					celltalkdb_32196115		ADM_ADCYAP1R1
ADM_ADRB2	ADM_ADRB2	ADM	ADM	ADRB2					celltalkdb_32196115		ADM_ADRB2
ADM_ADRB3	ADM_ADRB3	ADM	ADM	ADRB3					celltalkdb_32196115		ADM_ADRB3
ADM_CALCR	ADM_CALCR	ADM	ADM	CALCR					celltalkdb_10781016		ADM_CALCR
ADM_CALCRL	ADM_CALCRL	ADM	ADM	CALCRL					celltalkdb_9620797		ADM_CALCRL
ADM_GPR182	ADM_GPR182	ADM	ADM	GPR182					celltalkdb_7592696		ADM_GPR182
ADM_GPR20	ADM_GPR20	ADM	ADM	GPR20					celltalkdb_32196115		ADM_GPR20
ADM_GPR84	ADM_GPR84	ADM	ADM	GPR84					celltalkdb_32196115		ADM_GPR84
ADM_PTH1R	ADM_PTH1R	ADM	ADM	PTH1R					celltalkdb_32196115		ADM_PTH1R
ADM_RAMP1	ADM_RAMP1	ADM	ADM	RAMP1					celltalkdb_15361343		ADM_RAMP1
ADM_RAMP2	ADM_RAMP2	ADM	ADM	RAMP2					celltalkdb_9620797		ADM_RAMP2
ADM_RAMP3	ADM_RAMP3	ADM	ADM	RAMP3					celltalkdb_14712479		ADM_RAMP3
ADM_TSHR	ADM_TSHR	ADM	ADM	TSHR					celltalkdb_32196115		ADM_TSHR
ADM_VIPR1	ADM_VIPR1	ADM	ADM	VIPR1					celltalkdb_32196115		ADM_VIPR1
AFDN_EPHA7	AFDN_EPHA7	AFDN	AFDN	EPHA7					celltalkdb_9707552		AFDN_EPHA7
AFDN_EPHB2	AFDN_EPHB2	AFDN	AFDN	EPHB2					celltalkdb_9707552		AFDN_EPHB2
AFDN_EPHB3	AFDN_EPHB3	AFDN	AFDN	EPHB3					celltalkdb_9707552		AFDN_EPHB3
AFDN_EPHB6	AFDN_EPHB6	AFDN	AFDN	EPHB6					celltalkdb_9707552		AFDN_EPHB6
AFDN_F11R	AFDN_F11R	AFDN	AFDN	F11R					celltalkdb_10856295		AFDN_F11R
AFDN_NECTIN1	AFDN_NECTIN1	AFDN	AFDN	NECTIN1					celltalkdb_10225955		AFDN_NECTIN1
AFDN_NECTIN2	AFDN_NECTIN2	AFDN	AFDN	NECTIN2					celltalkdb_26198319,32196115		AFDN_NECTIN2
AFDN_NECTIN3	AFDN_NECTIN3	AFDN	AFDN	NECTIN3					celltalkdb_25263091		AFDN_NECTIN3
AFDN_NECTIN4	AFDN_NECTIN4	AFDN	AFDN	NECTIN4					celltalkdb_25926640		AFDN_NECTIN4
AFDN_NRXN2	AFDN_NRXN2	AFDN	AFDN	NRXN2					celltalkdb_9707552		AFDN_NRXN2
AFDN_NRXN3	AFDN_NRXN3	AFDN	AFDN	NRXN3					celltalkdb_9707552		AFDN_NRXN3
AGRIN_NCAM1	AGRIN_NCAM1	AGRIN	AGRIN	NCAM1					cellphonedb_reactome		AGRIN_NCAM1
AGRIN_PTPRS	AGRIN_PTPRS	AGRIN	AGRIN	PTPRS					cellphonedb_reactome		AGRIN_PTPRS
AGRN_ATP1A3	AGRN_ATP1A3	AGRN	AGRN	ATP1A3					celltalkdb_26198319,32196115		AGRN_ATP1A3
AGRN_ITGB1	AGRN_ITGB1	AGRN	AGRN	ITGB1					celltalkdb_9367446		AGRN_ITGB1
AGRN_LRP1	AGRN_LRP1	AGRN	AGRN	LRP1					celltalkdb_32196115		AGRN_LRP1
AGRN_LRP2	AGRN_LRP2	AGRN	AGRN	LRP2					celltalkdb_32196115		AGRN_LRP2
AGRN_LRP4	AGRN_LRP4	AGRN	AGRN	LRP4					celltalkdb_26198319,32196115		AGRN_LRP4
AGRN_MUSK	AGRN_MUSK	AGRN	AGRN	MUSK					celltalkdb_8653787		AGRN_MUSK
AGRP_ACTHR	AGRP_ACTHR	AGRP	AGRP	ACTHR					cellphonedb_GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		AGRP_ACTHR
AGRP_MC3R	AGRP_MC3R	AGRP	AGRP	MC3R					celltalkdb_9311920, cellphonedb_uniprot		AGRP_MC3R
AGRP_MC4R	AGRP_MC4R	AGRP	AGRP	MC4R					celltalkdb_9311920, cellphonedb_uniprot		AGRP_MC4R
AGRP_MC5R	AGRP_MC5R	AGRP	AGRP	MC5R					celltalkdb_9892020, cellphonedb_GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		AGRP_MC5R
AGRP_SDC3	AGRP_SDC3	AGRP	AGRP	SDC3					celltalkdb_11461706		AGRP_SDC3
AGTRAP_RACK1	AGTRAP_RACK1	AGTRAP	AGTRAP	RACK1					celltalkdb_11733189		AGTRAP_RACK1
AGT_ADRA2A	AGT_ADRA2A	AGT	AGT	ADRA2A					celltalkdb_32196115		AGT_ADRA2A
AGT_AGTR1	AGT_AGTR1	AGT	AGT	AGTR1					celltalkdb_10993080		AGT_AGTR1
AGT_AGTR2	AGT_AGTR2	AGT	AGT	AGTR2					celltalkdb_17138938		AGT_AGTR2
AGT_ENPEP	AGT_ENPEP	AGT	AGT	ENPEP					celltalkdb_29900035		AGT_ENPEP
AGT_GRM7	AGT_GRM7	AGT	AGT	GRM7					celltalkdb_32196115		AGT_GRM7
AGT_LRP2	AGT_LRP2	AGT	AGT	LRP2					celltalkdb_15467006		AGT_LRP2
AGT_MAS1	AGT_MAS1	AGT	AGT	MAS1					celltalkdb_26198319,32196115		AGT_MAS1
AGT_MTNR1A	AGT_MTNR1A	AGT	AGT	MTNR1A					celltalkdb_32196115		AGT_MTNR1A
AHSG_INSR	AHSG_INSR	AHSG	AHSG	INSR					celltalkdb_7906861		AHSG_INSR
ALB_LRP2	ALB_LRP2	ALB	ALB	LRP2					celltalkdb_11158855		ALB_LRP2
ALKAL1_ALK	ALKAL1_ALK	ALKAL1	ALKAL1	ALK					celltalkdb_26418745		ALKAL1_ALK
ALKAL2_ALK	ALKAL2_ALK	ALKAL2	ALKAL2	ALK					celltalkdb_26418745		ALKAL2_ALK
ALOX5AP_ALOX5	ALOX5AP_ALOX5	ALOX5AP	ALOX5AP	ALOX5					celltalkdb_27592027,26396238		ALOX5AP_ALOX5
AMELX_LAMP1	AMELX_LAMP1	AMELX	AMELX	LAMP1					celltalkdb_20382373		AMELX_LAMP1
AMH_ACVR1	AMH_ACVR1	AMH	AMH	ACVR1					celltalkdb_14656470		AMH_ACVR1
AMH_AMHR2	AMH_AMHR2	AMH	AMH	AMHR2					celltalkdb_7997230		AMH_AMHR2
AMH_EGFR	AMH_EGFR	AMH	AMH	EGFR					celltalkdb_8596488		AMH_EGFR
AMRP_SORT	AMRP_SORT	AMRP	AMRP	SORT					cellphonedb_uniprot		AMRP_SORT
ANF_ANPRA	ANF_ANPRA	ANF	ANF	ANPRA					cellphonedb_uniprot		ANF_ANPRA
ANGP1_TIE2	ANGP1_TIE2	ANGP1	ANGP1	TIE2					cellphonedb_uniprot		ANGP1_TIE2
ANGP2_TIE2	ANGP2_TIE2	ANGP2	ANGP2	TIE2					cellphonedb_uniprot		ANGP2_TIE2
ANGP4_TIE2	ANGP4_TIE2	ANGP4	ANGP4	TIE2					cellphonedb_uniprot		ANGP4_TIE2
ANGPT1_ITGA5	ANGPT1_ITGA5	ANGPT1	ANGPT1	ITGA5					celltalkdb_15781448		ANGPT1_ITGA5
ANGPT1_ITGB1	ANGPT1_ITGB1	ANGPT1	ANGPT1	ITGB1					celltalkdb_15781448		ANGPT1_ITGB1
ANGPT1_TEK	ANGPT1_TEK	ANGPT1	ANGPT1	TEK					celltalkdb_8980223		ANGPT1_TEK
ANGPT1_TIE1	ANGPT1_TIE1	ANGPT1	ANGPT1	TIE1					celltalkdb_11172728		ANGPT1_TIE1
ANGPT2_TEK	ANGPT2_TEK	ANGPT2	ANGPT2	TEK					celltalkdb_9204896		ANGPT2_TEK
ANGPT2_TIE1	ANGPT2_TIE1	ANGPT2	ANGPT2	TIE1					celltalkdb_22342979		ANGPT2_TIE1
ANGPT4_TEK	ANGPT4_TEK	ANGPT4	ANGPT4	TEK					celltalkdb_10051567		ANGPT4_TEK
ANGPT4_TIE1	ANGPT4_TIE1	ANGPT4	ANGPT4	TIE1					celltalkdb_15851516		ANGPT4_TIE1
ANGPTL1_TEK	ANGPTL1_TEK	ANGPTL1	ANGPTL1	TEK					celltalkdb_10051567		ANGPTL1_TEK
ANGPTL2_LILRB2	ANGPTL2_LILRB2	ANGPTL2	ANGPTL2	LILRB2					celltalkdb_24899623		ANGPTL2_LILRB2
ANGPTL2_TIE1	ANGPTL2_TIE1	ANGPTL2	ANGPTL2	TIE1					celltalkdb_32196115		ANGPTL2_TIE1
ANGPTL3_ITGA5	ANGPTL3_ITGA5	ANGPTL3	ANGPTL3	ITGA5					celltalkdb_11877390		ANGPTL3_ITGA5
ANGPTL3_ITGAV	ANGPTL3_ITGAV	ANGPTL3	ANGPTL3	ITGAV					celltalkdb_11877390		ANGPTL3_ITGAV
ANGPTL3_ITGB3	ANGPTL3_ITGB3	ANGPTL3	ANGPTL3	ITGB3					celltalkdb_11877390		ANGPTL3_ITGB3
ANGPTL4_GPIHBP1	ANGPTL4_GPIHBP1	ANGPTL4	ANGPTL4	GPIHBP1					celltalkdb_25809481		ANGPTL4_GPIHBP1
ANGPTL4_TIE1	ANGPTL4_TIE1	ANGPTL4	ANGPTL4	TIE1					celltalkdb_32196115		ANGPTL4_TIE1
ANGT_AGTR1	ANGT_AGTR1	ANGT	ANGT	AGTR1					cellphonedb_uniprot		ANGT_AGTR1
ANGT_AGTR2	ANGT_AGTR2	ANGT	ANGT	AGTR2					cellphonedb_uniprot		ANGT_AGTR2
ANG_EGFR	ANG_EGFR	ANG	ANG	EGFR					celltalkdb_30449278		ANG_EGFR
ANOS1_FGFR1	ANOS1_FGFR1	ANOS1	ANOS1	FGFR1					celltalkdb_19696444		ANOS1_FGFR1
ANOS1_SDC2	ANOS1_SDC2	ANOS1	ANOS1	SDC2					celltalkdb_26198319,32196115		ANOS1_SDC2
ANXA1_ADRA2A	ANXA1_ADRA2A	ANXA1	ANXA1	ADRA2A					celltalkdb_32196115		ANXA1_ADRA2A
ANXA1_DYSF	ANXA1_DYSF	ANXA1	ANXA1	DYSF					celltalkdb_26198319,32196115		ANXA1_DYSF
ANXA1_EGFR	ANXA1_EGFR	ANXA1	ANXA1	EGFR					celltalkdb_15581623		ANXA1_EGFR
ANXA1_FPR1	ANXA1_FPR1	ANXA1	ANXA1	FPR1					celltalkdb_10882119, cellphonedb_GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		ANXA1_FPR1
ANXA1_FPR2	ANXA1_FPR2	ANXA1	ANXA1	FPR2					celltalkdb_22610094, cellphonedb_PMID:22610094;reactome		ANXA1_FPR2
ANXA1_FPR3	ANXA1_FPR3	ANXA1	ANXA1	FPR3					celltalkdb_15187149, cellphonedb_reactome		ANXA1_FPR3
ANXA1_GRM7	ANXA1_GRM7	ANXA1	ANXA1	GRM7					celltalkdb_32196115		ANXA1_GRM7
ANXA1_MTNR1A	ANXA1_MTNR1A	ANXA1	ANXA1	MTNR1A					celltalkdb_32196115		ANXA1_MTNR1A
APELA_APLNR	APELA_APLNR	APELA	APELA	APLNR					celltalkdb_28663440		APELA_APLNR
APEL_APJ	APEL_APJ	APEL	APEL	APJ					cellphonedb_uniprot		APEL_APJ
APLN_ADRA2A	APLN_ADRA2A	APLN	APLN	ADRA2A					celltalkdb_32196115		APLN_ADRA2A
APLN_APLNR	APLN_APLNR	APLN	APLN	APLNR					celltalkdb_10617103		APLN_APLNR
APLN_GRM7	APLN_GRM7	APLN	APLN	GRM7					celltalkdb_32196115		APLN_GRM7
APLN_MTNR1A	APLN_MTNR1A	APLN	APLN	MTNR1A					celltalkdb_32196115		APLN_MTNR1A
APLP2_PIGR	APLP2_PIGR	APLP2	APLP2	PIGR					cellphonedb_Shilts screen - VALIDATED		APLP2_PIGR
APLP2_PLXA4	APLP2_PLXA4	APLP2	APLP2	PLXA4					cellphonedb_Shilts screen - VALIDATED		APLP2_PLXA4
APOA1_ABCA1	APOA1_ABCA1	APOA1	APOA1	ABCA1					celltalkdb_27100352, cellphonedb_reactome		APOA1_ABCA1
APOA1_LDLR	APOA1_LDLR	APOA1	APOA1	LDLR					celltalkdb_16150825		APOA1_LDLR
APOA1_LRP1	APOA1_LRP1	APOA1	APOA1	LRP1					celltalkdb_32196115		APOA1_LRP1
APOA1_LRP2	APOA1_LRP2	APOA1	APOA1	LRP2					celltalkdb_32196115		APOA1_LRP2
APOA2_LDLR	APOA2_LDLR	APOA2	APOA2	LDLR					celltalkdb_32196115		APOA2_LDLR
APOA2_LRP1	APOA2_LRP1	APOA2	APOA2	LRP1					celltalkdb_32196115		APOA2_LRP1
APOA2_LRP2	APOA2_LRP2	APOA2	APOA2	LRP2					celltalkdb_32196115		APOA2_LRP2
APOA4_LDLR	APOA4_LDLR	APOA4	APOA4	LDLR					celltalkdb_32196115		APOA4_LDLR
APOA4_LRP1	APOA4_LRP1	APOA4	APOA4	LRP1					celltalkdb_32196115		APOA4_LRP1
APOA4_LRP2	APOA4_LRP2	APOA4	APOA4	LRP2					celltalkdb_32196115		APOA4_LRP2
APOB_ADRB2	APOB_ADRB2	APOB	APOB	ADRB2					celltalkdb_32196115		APOB_ADRB2
APOB_APOBR	APOB_APOBR	APOB	APOB	APOBR					cellphonedb_uniprot		APOB_APOBR
APOB_CALCR	APOB_CALCR	APOB	APOB	CALCR					celltalkdb_32196115		APOB_CALCR
APOB_ITGAM	APOB_ITGAM	APOB	APOB	ITGAM					celltalkdb_32196115		APOB_ITGAM
APOB_ITGB2	APOB_ITGB2	APOB	APOB	ITGB2					celltalkdb_32196115		APOB_ITGB2
APOB_LDLR	APOB_LDLR	APOB	APOB	LDLR					celltalkdb_11327878		APOB_LDLR
APOB_LRP1	APOB_LRP1	APOB	APOB	LRP1					celltalkdb_32196115		APOB_LRP1
APOB_LRP2	APOB_LRP2	APOB	APOB	LRP2					celltalkdb_10330424		APOB_LRP2
APOB_LRP6	APOB_LRP6	APOB	APOB	LRP6					celltalkdb_22461740,22128165		APOB_LRP6
APOB_LRP8	APOB_LRP8	APOB	APOB	LRP8					celltalkdb_32196115		APOB_LRP8
APOB_LSR	APOB_LSR	APOB	APOB	LSR					celltalkdb_7615497		APOB_LSR
APOB_MTTP	APOB_MTTP	APOB	APOB	MTTP					celltalkdb_29650752		APOB_MTTP
APOB_OLR1	APOB_OLR1	APOB	APOB	OLR1					celltalkdb_9763524		APOB_OLR1
APOB_TLR4	APOB_TLR4	APOB	APOB	TLR4					celltalkdb_32196115		APOB_TLR4
APOB_TLR6	APOB_TLR6	APOB	APOB	TLR6					celltalkdb_32196115		APOB_TLR6
APOB_VLDLR	APOB_VLDLR	APOB	APOB	VLDLR					celltalkdb_32196115		APOB_VLDLR
APOC1_VLDLR	APOC1_VLDLR	APOC1	APOC1	VLDLR					celltalkdb_11353333		APOC1_VLDLR
APOC2_LDLR	APOC2_LDLR	APOC2	APOC2	LDLR					celltalkdb_32196115		APOC2_LDLR
APOC2_LRP1	APOC2_LRP1	APOC2	APOC2	LRP1					celltalkdb_32196115		APOC2_LRP1
APOC2_LRP2	APOC2_LRP2	APOC2	APOC2	LRP2					celltalkdb_32196115		APOC2_LRP2
