interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
ADIPOQ_ADIPOR2	ADIPOQ_ADIPOR2	ADIPOQ	Adipoq	Adipor2					celltalkdb_12802337		Adipoq_Adipor2
ADM2_CALCRL	ADM2_CALCRL	ADM2	Adm2	Calcrl					celltalkdb_14615490		Adm2_Calcrl
ADM2_RAMP3	ADM2_RAMP3	ADM2	Adm2	Ramp3					celltalkdb_27013657		Adm2_Ramp3
ADML_RAMP3	ADML_RAMP3	Adm	Adm	Ramp3					cellphonedb_uniprot		Adml_Ramp3
AFDN_NECTIN1	AFDN_NECTIN1	AFDN	Afdn	Nectin1					celltalkdb_10225955		Afdn_Nectin1
AFDN_NECTIN2	AFDN_NECTIN2	AFDN	Afdn	Nectin2					celltalkdb_10733589		Afdn_Nectin2
AFDN_NECTIN3	AFDN_NECTIN3	AFDN	Afdn	Nectin3					celltalkdb_15741237		Afdn_Nectin3
AFDN_NECTIN4	AFDN_NECTIN4	AFDN	Afdn	Nectin4					celltalkdb_11544254		Afdn_Nectin4
AFDN_NRXN3	AFDN_NRXN3	AFDN	Afdn	Nrxn3					celltalkdb_9707552		Afdn_Nrxn3
AGRIN_NCAM1	AGRIN_NCAM1	Agrn	Agrn	Ncam1					cellphonedb_reactome		Agrin_Ncam1
AGRIN_PTPRS	AGRIN_PTPRS	Agrn	Agrn	Ptprs					cellphonedb_reactome		Agrin_Ptprs
AGRN_ATP1A3	AGRN_ATP1A3	AGRN	Agrn	Atp1a3					celltalkdb_16630822		Agrn_Atp1a3
AGRN_LRP4	AGRN_LRP4	AGRN	Agrn	Lrp4					celltalkdb_18848351		Agrn_Lrp4
AGRN_MUSK	AGRN_MUSK	AGRN	Agrn	Musk					celltalkdb_8653787		Agrn_Musk
Agrp_Mc2r	Agrp_Mc2r	AGRP	Agrp	Mc2r					cellphonedb_GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		Agrp_Acthr
AGRP_MC3R	AGRP_MC3R	AGRP	Agrp	Mc3r					celltalkdb_22249810, cellphonedb_uniprot		Agrp_Mc3r
AGRP_MC4R	AGRP_MC4R	AGRP	Agrp	Mc4r					cellphonedb_uniprot		Agrp_Mc4r
AGRP_MC5R	AGRP_MC5R	AGRP	Agrp	Mc5r					celltalkdb_9892020, cellphonedb_GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		Agrp_Mc5r
AGRP_SDC3	AGRP_SDC3	AGRP	Agrp	Sdc3					celltalkdb_11461706		Agrp_Sdc3
AGTRAP_RACK1	AGTRAP_RACK1	AGTRAP	Agtrap	Rack1					celltalkdb_11733189		Agtrap_Rack1
AGT_AGTR1A	AGT_AGTR1A	AGT	Agt	Agtr1a					celltalkdb_8993843		Agt_Agtr1a
AGT_AGTR1B	AGT_AGTR1B	AGT	Agt	Agtr1b					celltalkdb_8993843		Agt_Agtr1b
AGT_AGTR2	AGT_AGTR2	AGT	Agt	Agtr2					celltalkdb_17630322		Agt_Agtr2
AGT_LRP2	AGT_LRP2	AGT	Agt	Lrp2					celltalkdb_20966072		Agt_Lrp2
AGT_MAS1	AGT_MAS1	AGT	Agt	Mas1					celltalkdb_12829792		Agt_Mas1
AHSG_INSR	AHSG_INSR	AHSG	Ahsg	Insr					celltalkdb_23314177		Ahsg_Insr
ALKAL1_ALK	ALKAL1_ALK	ALKAL1	Alkal1	Alk					celltalkdb_26630010		Alkal1_Alk
ALKAL2_ALK	ALKAL2_ALK	ALKAL2	Alkal2	Alk					celltalkdb_26630010		Alkal2_Alk
ALOX5AP_ALOX5	ALOX5AP_ALOX5	ALOX5AP	Alox5ap	Alox5					celltalkdb_29936999		Alox5ap_Alox5
AMELX_CD63	AMELX_CD63	AMELX	Amelx	Cd63					celltalkdb_17708745		Amelx_Cd63
AMELX_LAMP1	AMELX_LAMP1	AMELX	Amelx	Lamp1					celltalkdb_17708745,17187173		Amelx_Lamp1
AMH_ACVR1	AMH_ACVR1	AMH	Amh	Acvr1					celltalkdb_22872577		Amh_Acvr1
AMH_AMHR2	AMH_AMHR2	AMH	Amh	Amhr2					celltalkdb_22872577,27396341		Amh_Amhr2
AMH_BMPR1A	AMH_BMPR1A	AMH	Amh	Bmpr1a					celltalkdb_14656471,12368913		Amh_Bmpr1a
Lrpap1_Sort1	Lrpap1_Sort1	Lrpap1	Lrpap1	Sort1					cellphonedb_uniprot		Amrp_Sort
Nppa_Npr1	Nppa_Npr1	Nppa	Nppa	Npr1					cellphonedb_uniprot		Anf_Anpra
Angpt1_Tek	Angpt1_Tek	Angpt1	Angpt1	Tek					cellphonedb_uniprot		Angp1_Tie2
Angpt2_Tek	Angpt2_Tek	Angpt2	Angpt2	Tek					cellphonedb_uniprot		Angp2_Tie2
Angpt4_Tek	Angpt4_Tek	Angpt4	Angpt4	Tek					cellphonedb_uniprot		Angp4_Tie2
ANGPT1_ITGA5	ANGPT1_ITGA5	ANGPT1	Angpt1	Itga5					celltalkdb_30185785		Angpt1_Itga5
ANGPT1_TEK	ANGPT1_TEK	ANGPT1	Angpt1	Tek					celltalkdb_28396439,8980223		Angpt1_Tek
ANGPT2_ITGA5	ANGPT2_ITGA5	ANGPT2	Angpt2	Itga5					celltalkdb_25237190		Angpt2_Itga5
ANGPT2_ITGAV	ANGPT2_ITGAV	ANGPT2	Angpt2	Itgav					celltalkdb_26890140		Angpt2_Itgav
ANGPT2_ITGB1	ANGPT2_ITGB1	ANGPT2	Angpt2	Itgb1					celltalkdb_25237190,19458194		Angpt2_Itgb1
ANGPT2_ITGB2	ANGPT2_ITGB2	ANGPT2	Angpt2	Itgb2					celltalkdb_21868579		Angpt2_Itgb2
ANGPT2_TEK	ANGPT2_TEK	ANGPT2	Angpt2	Tek					celltalkdb_9204896		Angpt2_Tek
ANGPT4_TEK	ANGPT4_TEK	ANGPT4	Angpt4	Tek					celltalkdb_10051567		Angpt4_Tek
ANGPTL1_TEK	ANGPTL1_TEK	ANGPTL1	Angptl1	Tek					celltalkdb_10051567		Angptl1_Tek
ANGPTL3_ITGA5	ANGPTL3_ITGA5	ANGPTL3	Angptl3	Itga5					celltalkdb_11877390		Angptl3_Itga5
ANGPTL3_ITGAV	ANGPTL3_ITGAV	ANGPTL3	Angptl3	Itgav					celltalkdb_11877390,11877390		Angptl3_Itgav
ANGPTL3_ITGB3	ANGPTL3_ITGB3	ANGPTL3	Angptl3	Itgb3					celltalkdb_11877390		Angptl3_Itgb3
ANGPTL4_GPIHBP1	ANGPTL4_GPIHBP1	ANGPTL4	Angptl4	Gpihbp1					celltalkdb_32029511		Angptl4_Gpihbp1
ANGPTL8_GPIHBP1	ANGPTL8_GPIHBP1	ANGPTL8	Angptl8	Gpihbp1					celltalkdb_32029511		Angptl8_Gpihbp1
ANGT_AGTR1	ANGT_AGTR1	Agt	Agt	Agtr1					cellphonedb_uniprot		Angt_Agtr1
ANGT_AGTR2	ANGT_AGTR2	Agt	Agt	Agtr2					cellphonedb_uniprot		Angt_Agtr2
ANG_EGFR	ANG_EGFR	ANG	Ang	Egfr					celltalkdb_30449278		Ang_Egfr
ANXA1_DYSF	ANXA1_DYSF	ANXA1	Anxa1	Dysf					celltalkdb_14506282		Anxa1_Dysf
ANXA1_FPR1	ANXA1_FPR1	ANXA1	Anxa1	Fpr1					celltalkdb_29659553, cellphonedb_GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		Anxa1_Fpr1
ANXA1_FPR2	ANXA1_FPR2	ANXA1	Anxa1	Fpr2					celltalkdb_29263330, cellphonedb_PMID:22610094;reactome		Anxa1_Fpr2
ANXA1_FPR3	ANXA1_FPR3	ANXA1	Anxa1	Fpr3					cellphonedb_reactome		Anxa1_Fpr3
ANXA2_CD44	ANXA2_CD44	ANXA2	Anxa2	Cd44					celltalkdb_16177123,10459018		Anxa2_Cd44
APELA_APLNR	APELA_APLNR	APELA	Apela	Aplnr					celltalkdb_29357134		Apela_Aplnr
Apln_Aplnr	Apln_Aplnr	Apln	Apln	Aplnr					cellphonedb_uniprot		Apel_Apj
APLN_APLNR	APLN_APLNR	APLN	Apln	Aplnr					celltalkdb_30736911		Apln_Aplnr
APLP2_PIGR	APLP2_PIGR	APLP2	Aplp2	Pigr					cellphonedb_Shilts screen - VALIDATED		Aplp2_Pigr
Aplp2_Plxna4	Aplp2_Plxna4	APLP2	Aplp2	Plxna4					cellphonedb_Shilts screen - VALIDATED		Aplp2_Plxa4
APOA1_ABCA1	APOA1_ABCA1	APOA1	Apoa1	Abca1					celltalkdb_27100352, cellphonedb_reactome		Apoa1_Abca1
APOA1_LRP2	APOA1_LRP2	APOA1	Apoa1	Lrp2					celltalkdb_10766831		Apoa1_Lrp2
APOB_APOBR	APOB_APOBR	APOB	Apob	Apobr					celltalkdb_12177162, cellphonedb_uniprot		Apob_Apobr
APOB_CD36	APOB_CD36	APOB	Apob	Cd36					celltalkdb_12543251		Apob_Cd36
APOB_LDLR	APOB_LDLR	APOB	Apob	Ldlr					celltalkdb_24447298		Apob_Ldlr
APOB_LRP1	APOB_LRP1	APOB	Apob	Lrp1					celltalkdb_31077676		Apob_Lrp1
APOB_LRP2	APOB_LRP2	APOB	Apob	Lrp2					celltalkdb_10330424,7642623		Apob_Lrp2
APOB_LRP6	APOB_LRP6	APOB	Apob	Lrp6					celltalkdb_22461740		Apob_Lrp6
APOB_LSR	APOB_LSR	APOB	Apob	Lsr					celltalkdb_18644789		Apob_Lsr
APOB_MTTP	APOB_MTTP	APOB	Apob	Mttp					celltalkdb_29650752		Apob_Mttp
APOB_SCARB1	APOB_SCARB1	APOB	Apob	Scarb1					celltalkdb_21157967		Apob_Scarb1
APOB_TLR4	APOB_TLR4	APOB	Apob	Tlr4					celltalkdb_31858317		Apob_Tlr4
APOC1_VLDLR	APOC1_VLDLR	APOC1	Apoc1	Vldlr					celltalkdb_11353333,10024503		Apoc1_Vldlr
APOC3_GPIHBP1	APOC3_GPIHBP1	APOC3	Apoc3	Gpihbp1					celltalkdb_28694296		Apoc3_Gpihbp1
APOC3_LDLR	APOC3_LDLR	APOC3	Apoc3	Ldlr					celltalkdb_27400128		Apoc3_Ldlr
APOC3_LRP1	APOC3_LRP1	APOC3	Apoc3	Lrp1					celltalkdb_27400128		Apoc3_Lrp1
APOE_ABCA1	APOE_ABCA1	APOE	Apoe	Abca1					celltalkdb_27922847		Apoe_Abca1
APOE_LDLR	APOE_LDLR	APOE	Apoe	Ldlr					celltalkdb_20049331,27922847		Apoe_Ldlr
APOE_LRP1	APOE_LRP1	APOE	Apoe	Lrp1					celltalkdb_22393530,30741718,22674573		Apoe_Lrp1
APOE_LRP2	APOE_LRP2	APOE	Apoe	Lrp2					celltalkdb_11421580		Apoe_Lrp2
APOE_LRP5	APOE_LRP5	APOE	Apoe	Lrp5					celltalkdb_12509421		Apoe_Lrp5
APOE_LRP6	APOE_LRP6	APOE	Apoe	Lrp6					celltalkdb_22461740		Apoe_Lrp6
APOE_LRP8	APOE_LRP8	APOE	Apoe	Lrp8					celltalkdb_25358504,30304853		Apoe_Lrp8
APOE_SCARB1	APOE_SCARB1	APOE	Apoe	Scarb1					celltalkdb_30419936		Apoe_Scarb1
APOE_SDC1	APOE_SDC1	APOE	Apoe	Sdc1					celltalkdb_23576506		Apoe_Sdc1
APOE_SDC4	APOE_SDC4	APOE	Apoe	Sdc4					celltalkdb_24751902		Apoe_Sdc4
APOE_SORL1	APOE_SORL1	APOE	Apoe	Sorl1					celltalkdb_16930450		Apoe_Sorl1
APOE_TREM2	APOE_TREM2	APOE	Apoe	Trem2					celltalkdb_30587772		Apoe_Trem2
APOE_VLDLR	APOE_VLDLR	APOE	Apoe	Vldlr					celltalkdb_12870663,11421580		Apoe_Vldlr
APOM_LRP2	APOM_LRP2	APOM	Apom	Lrp2					celltalkdb_16099815		Apom_Lrp2
APP_ADRA2A	APP_ADRA2A	APP	App	Adra2a					celltalkdb_28646018		App_Adra2a
APP_CASR	APP_CASR	APP	App	Casr					celltalkdb_28455519,31719824		App_Casr
APP_CAV1	APP_CAV1	APP	App	Cav1					celltalkdb_9553108		App_Cav1
APP_CD47	APP_CD47	APP	App	Cd47					celltalkdb_21203512		App_Cd47
APP_CD74	APP_CD74	APP	App	Cd74					celltalkdb_26227349		App_Cd74
APP_DCC	APP_DCC	APP	App	Dcc					celltalkdb_22782894		App_Dcc
APP_DRD3	APP_DRD3	APP	App	Drd3					celltalkdb_16524466		App_Drd3
APP_FPR2	APP_FPR2	APP	App	Fpr2					celltalkdb_11316806		App_Fpr2
APP_GPR3	APP_GPR3	APP	App	Gpr3					celltalkdb_24069330		App_Gpr3
APP_LRP1	APP_LRP1	APP	App	Lrp1					celltalkdb_28496400,31004319,28275161		App_Lrp1
APP_LRP10	APP_LRP10	APP	App	Lrp10					celltalkdb_22734645		App_Lrp10
APP_LRP2	APP_LRP2	APP	App	Lrp2					celltalkdb_20637285		App_Lrp2
APP_LRP4	APP_LRP4	APP	App	Lrp4					celltalkdb_23986861		App_Lrp4
APP_LRP6	APP_LRP6	APP	App	Lrp6					celltalkdb_30232325		App_Lrp6
APP_LRP8	APP_LRP8	APP	App	Lrp8					celltalkdb_16227578		App_Lrp8
APP_NCSTN	APP_NCSTN	APP	App	Ncstn					celltalkdb_10993067		App_Ncstn
APP_NGFR	APP_NGFR	APP	App	Ngfr					celltalkdb_25917367,19334058		App_Ngfr
APP_NOTCH1	APP_NOTCH1	APP	App	Notch1					celltalkdb_16515557		App_Notch1
APP_NOTCH2	APP_NOTCH2	APP	App	Notch2					celltalkdb_16515557		App_Notch2
APP_SORCS1	APP_SORCS1	APP	App	Sorcs1					celltalkdb_26119586		App_Sorcs1
APP_SORL1	APP_SORL1	APP	App	Sorl1					celltalkdb_24833601,16174740,16489755,28799085,16407538,23813966		App_Sorl1
APP_TNFRSF21	APP_TNFRSF21	APP	App	Tnfrsf21					celltalkdb_25838500		App_Tnfrsf21
APP_TRPC6	APP_TRPC6	APP	App	Trpc6					celltalkdb_26581893		App_Trpc6
APP_TSPAN12	APP_TSPAN12	APP	App	Tspan12					celltalkdb_28066176		App_Tspan12
APP_TSPAN15	APP_TSPAN15	APP	App	Tspan15					celltalkdb_28066176		App_Tspan15
APP_VLDLR	APP_VLDLR	APP	App	Vldlr					celltalkdb_22429478		App_Vldlr
Prnp_Adgrg6	Prnp_Adgrg6	Prnp	Prnp	Adgrg6					cellphonedb_uniprot;reactome;IUPHAR		Aprio_Agrg6
AREG_EGFR	AREG_EGFR	AREG	Areg	Egfr					celltalkdb_25086039,24463227,7929459,29349588, cellphonedb_uniprot		Areg_Egfr
AREG_ERBB2	AREG_ERBB2	AREG	Areg	Erbb2					celltalkdb_8702723,25086039		Areg_Erbb2
AREG_ERBB3	AREG_ERBB3	AREG	Areg	Erbb3					celltalkdb_8702723		Areg_Erbb3
AREG_ERBB4	AREG_ERBB4	AREG	Areg	Erbb4					celltalkdb_8702723		Areg_Erbb4
AREG_IGF1R	AREG_IGF1R	AREG	Areg	Igf1r					celltalkdb_15033751		Areg_Igf1r
ARF4_LRP2	ARF4_LRP2	ARF4	Arf4	Lrp2					celltalkdb_28366874		Arf4_Lrp2
ARF6_PLD1	ARF6_PLD1	ARF6	Arf6	Pld1					celltalkdb_30944160		Arf6_Pld1
ARTN_GFRA1	ARTN_GFRA1	ARTN	Artn	Gfra1					celltalkdb_9883723		Artn_Gfra1
ARTN_GFRA2	ARTN_GFRA2	ARTN	Artn	Gfra2					celltalkdb_10712625		Artn_Gfra2
ARTN_GFRA3	ARTN_GFRA3	ARTN	Artn	Gfra3					celltalkdb_9883723		Artn_Gfra3
ARTN_RET	ARTN_RET	ARTN	Artn	Ret					celltalkdb_9883723,12953054,21590285		Artn_Ret
ARTN_SDC3	ARTN_SDC3	ARTN	Artn	Sdc3					celltalkdb_21200028		Artn_Sdc3
Asip_Mc1r	Asip_Mc1r	ASIP	Asip	Mc1r					cellphonedb_uniprot		Asip_Mshr
AVP_AVPR1A	AVP_AVPR1A	AVP	Avp	Avpr1a					celltalkdb_32067962		Avp_Avpr1a
AVP_AVPR1B	AVP_AVPR1B	AVP	Avp	Avpr1b					celltalkdb_30677431,18655872		Avp_Avpr1b
AVP_AVPR2	AVP_AVPR2	AVP	Avp	Avpr2					celltalkdb_23360744		Avp_Avpr2
AVP_OXTR	AVP_OXTR	AVP	Avp	Oxtr					celltalkdb_20663860		Avp_Oxtr
A_ATRN	A_ATRN	A	a	Atrn					celltalkdb_11137996		a_Atrn
A_MC1R	A_MC1R	A	a	Mc1r					celltalkdb_12851328		a_Mc1r
Bag6_Ncr3	Bag6_Ncr3	BAG6	Bag6	Ncr3					cellphonedb_activating_interaction_from_uniprot		Bag6_Nctr3
BDNF_BEX3	BDNF_BEX3	BDNF	Bdnf	Bex3					celltalkdb_10764727		Bdnf_Bex3
BDNF_INSRR	BDNF_INSRR	BDNF	Bdnf	Insrr					celltalkdb_10616905		Bdnf_Insrr
BDNF_NGFR	BDNF_NGFR	BDNF	Bdnf	Ngfr					celltalkdb_27223597,15930396		Bdnf_Ngfr
BDNF_NTRK1	BDNF_NTRK1	BDNF	Bdnf	Ntrk1					celltalkdb_22465479,1935713		Bdnf_Ntrk1
BDNF_NTRK2	BDNF_NTRK2	BDNF	Bdnf	Ntrk2					celltalkdb_24714156, cellphonedb_uniprot		Bdnf_Ntrk2
BDNF_NTRK3	BDNF_NTRK3	BDNF	Bdnf	Ntrk3					celltalkdb_22465479,18003743		Bdnf_Ntrk3
BDNF_SORCS2	BDNF_SORCS2	BDNF	Bdnf	Sorcs2					celltalkdb_24908487		Bdnf_Sorcs2
Bdnf_Sort1	Bdnf_Sort1	BDNF	Bdnf	Sort1					cellphonedb_uniprot		Bdnf_Sort
BDNF_SORT1	BDNF_SORT1	BDNF	Bdnf	Sort1					celltalkdb_22465479		Bdnf_Sort1
Bdnf_Ngfr	Bdnf_Ngfr	BDNF	Bdnf	Ngfr					cellphonedb_uniprot		Bdnf_Tnr16
BGN_CD44	BGN_CD44	BGN	Bgn	Cd44					celltalkdb_30712922,30776184,30712922		Bgn_Cd44
BGN_P2RX4	BGN_P2RX4	BGN	Bgn	P2rx4					celltalkdb_19605353		Bgn_P2rx4
BGN_P2RX7	BGN_P2RX7	BGN	Bgn	P2rx7					celltalkdb_19605353		Bgn_P2rx7
BGN_TLR2	BGN_TLR2	BGN	Bgn	Tlr2					celltalkdb_26689330		Bgn_Tlr2
BGN_TLR4	BGN_TLR4	BGN	Bgn	Tlr4					celltalkdb_26689330		Bgn_Tlr4
BMP10_ACVR1	BMP10_ACVR1	BMP10	Bmp10	Acvr1					celltalkdb_16603567		Bmp10_Acvr1
