"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"BMP2_BMPR1B_BMPR2","BMP2_BMPR1B_BMPR2","BMP","BMP2","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP2 - (BMPR1B+BMPR2)"
"BMP4_BMPR1A_ACVR2A","BMP4_BMPR1A_ACVR2A","BMP","BMP4","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP4 - (BMPR1A+ACVR2A)"
"BMP4_BMPR1A_ACVR2B","BMP4_BMPR1A_ACVR2B","BMP","BMP4","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP4 - (BMPR1A+ACVR2B)"
"BMP4_BMPR1A_BMPR2","BMP4_BMPR1A_BMPR2","BMP","BMP4","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP4 - (BMPR1A+BMPR2)"
"BMP4_BMPR1B_ACVR2A","BMP4_BMPR1B_ACVR2A","BMP","BMP4","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP4 - (BMPR1B+ACVR2A)"
"BMP4_BMPR1B_ACVR2B","BMP4_BMPR1B_ACVR2B","BMP","BMP4","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP4 - (BMPR1B+ACVR2B)"
"BMP4_BMPR1B_BMPR2","BMP4_BMPR1B_BMPR2","BMP","BMP4","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP4 - (BMPR1B+BMPR2)"
"GDF5_BMPR1A_ACVR2A","GDF5_BMPR1A_ACVR2A","BMP","GDF5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF5 - (BMPR1A+ACVR2A)"
"GDF5_BMPR1A_ACVR2B","GDF5_BMPR1A_ACVR2B","BMP","GDF5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF5 - (BMPR1A+ACVR2B)"
"GDF5_BMPR1A_BMPR2","GDF5_BMPR1A_BMPR2","BMP","GDF5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF5 - (BMPR1A+BMPR2)"
"GDF5_BMPR1B_ACVR2A","GDF5_BMPR1B_ACVR2A","BMP","GDF5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF5 - (BMPR1B+ACVR2A)"
"GDF5_BMPR1B_ACVR2B","GDF5_BMPR1B_ACVR2B","BMP","GDF5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF5 - (BMPR1B+ACVR2B)"
"GDF5_BMPR1B_BMPR2","GDF5_BMPR1B_BMPR2","BMP","GDF5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF5 - (BMPR1B+BMPR2)"
"GDF6_BMPR1A_ACVR2A","GDF6_BMPR1A_ACVR2A","BMP","GDF6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF6 - (BMPR1A+ACVR2A)"
"GDF6_BMPR1A_ACVR2B","GDF6_BMPR1A_ACVR2B","BMP","GDF6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF6 - (BMPR1A+ACVR2B)"
"GDF6_BMPR1A_BMPR2","GDF6_BMPR1A_BMPR2","BMP","GDF6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF6 - (BMPR1A+BMPR2)"
"GDF6_BMPR1B_ACVR2A","GDF6_BMPR1B_ACVR2A","BMP","GDF6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF6 - (BMPR1B+ACVR2A)"
"GDF6_BMPR1B_ACVR2B","GDF6_BMPR1B_ACVR2B","BMP","GDF6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF6 - (BMPR1B+ACVR2B)"
"GDF6_BMPR1B_BMPR2","GDF6_BMPR1B_BMPR2","BMP","GDF6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF6 - (BMPR1B+BMPR2)"
"GDF7_BMPR1A_ACVR2A","GDF7_BMPR1A_ACVR2A","BMP","GDF7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF7 - (BMPR1A+ACVR2A)"
"GDF7_BMPR1A_ACVR2B","GDF7_BMPR1A_ACVR2B","BMP","GDF7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF7 - (BMPR1A+ACVR2B)"
"GDF7_BMPR1A_BMPR2","GDF7_BMPR1A_BMPR2","BMP","GDF7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF7 - (BMPR1A+BMPR2)"
"GDF7_BMPR1B_ACVR2A","GDF7_BMPR1B_ACVR2A","BMP","GDF7","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF7 - (BMPR1B+ACVR2A)"
"GDF7_BMPR1B_ACVR2B","GDF7_BMPR1B_ACVR2B","BMP","GDF7","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF7 - (BMPR1B+ACVR2B)"
"GDF7_BMPR1B_BMPR2","GDF7_BMPR1B_BMPR2","BMP","GDF7","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF7 - (BMPR1B+BMPR2)"
"BMP15_BMPR1B_BMPR2","BMP15_BMPR1B_BMPR2","BMP","BMP15","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP15 - (BMPR1B+BMPR2)"
"BMP5_ACVR1_ACVR2A","BMP5_ACVR1_ACVR2A","BMP","BMP5","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (ACVR1+ACVR2A)"
"BMP5_ACVR1_ACVR2B","BMP5_ACVR1_ACVR2B","BMP","BMP5","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (ACVR1+ACVR2B)"
"BMP5_ACVR1_BMPR2","BMP5_ACVR1_BMPR2","BMP","BMP5","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (ACVR1+BMPR2)"
"BMP5_BMPR1A_ACVR2A","BMP5_BMPR1A_ACVR2A","BMP","BMP5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (BMPR1A+ACVR2A)"
"BMP5_BMPR1A_ACVR2B","BMP5_BMPR1A_ACVR2B","BMP","BMP5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (BMPR1A+ACVR2B)"
"BMP5_BMPR1A_BMPR2","BMP5_BMPR1A_BMPR2","BMP","BMP5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (BMPR1A+BMPR2)"
"BMP5_BMPR1B_ACVR2A","BMP5_BMPR1B_ACVR2A","BMP","BMP5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (BMPR1B+ACVR2A)"
"BMP5_BMPR1B_ACVR2B","BMP5_BMPR1B_ACVR2B","BMP","BMP5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (BMPR1B+ACVR2B)"
"BMP5_BMPR1B_BMPR2","BMP5_BMPR1B_BMPR2","BMP","BMP5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP5 - (BMPR1B+BMPR2)"
"BMP6_ACVR1_ACVR2A","BMP6_ACVR1_ACVR2A","BMP","BMP6","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (ACVR1+ACVR2A)"
"BMP6_ACVR1_ACVR2B","BMP6_ACVR1_ACVR2B","BMP","BMP6","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (ACVR1+ACVR2B)"
"BMP6_ACVR1_BMPR2","BMP6_ACVR1_BMPR2","BMP","BMP6","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (ACVR1+BMPR2)"
"BMP6_BMPR1A_ACVR2A","BMP6_BMPR1A_ACVR2A","BMP","BMP6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (BMPR1A+ACVR2A)"
"BMP6_BMPR1A_ACVR2B","BMP6_BMPR1A_ACVR2B","BMP","BMP6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (BMPR1A+ACVR2B)"
"BMP6_BMPR1A_BMPR2","BMP6_BMPR1A_BMPR2","BMP","BMP6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (BMPR1A+BMPR2)"
"BMP6_BMPR1B_ACVR2A","BMP6_BMPR1B_ACVR2A","BMP","BMP6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (BMPR1B+ACVR2A)"
"BMP6_BMPR1B_ACVR2B","BMP6_BMPR1B_ACVR2B","BMP","BMP6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (BMPR1B+ACVR2B)"
"BMP6_BMPR1B_BMPR2","BMP6_BMPR1B_BMPR2","BMP","BMP6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP6 - (BMPR1B+BMPR2)"
"BMP7_ACVR1_ACVR2A","BMP7_ACVR1_ACVR2A","BMP","BMP7","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (ACVR1+ACVR2A)"
"BMP7_ACVR1_ACVR2B","BMP7_ACVR1_ACVR2B","BMP","BMP7","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (ACVR1+ACVR2B)"
"BMP7_ACVR1_BMPR2","BMP7_ACVR1_BMPR2","BMP","BMP7","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (ACVR1+BMPR2)"
"BMP7_BMPR1A_ACVR2A","BMP7_BMPR1A_ACVR2A","BMP","BMP7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (BMPR1A+ACVR2A)"
"BMP7_BMPR1A_ACVR2B","BMP7_BMPR1A_ACVR2B","BMP","BMP7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (BMPR1A+ACVR2B)"
"BMP7_BMPR1A_BMPR2","BMP7_BMPR1A_BMPR2","BMP","BMP7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (BMPR1A+BMPR2)"
"BMP7_BMPR1B_ACVR2A","BMP7_BMPR1B_ACVR2A","BMP","BMP7","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (BMPR1B+ACVR2A)"
"BMP7_BMPR1B_ACVR2B","BMP7_BMPR1B_ACVR2B","BMP","BMP7","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (BMPR1B+ACVR2B)"
"BMP7_BMPR1B_BMPR2","BMP7_BMPR1B_BMPR2","BMP","BMP7","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP7 - (BMPR1B+BMPR2)"
"BMP8A_ACVR1_ACVR2A","BMP8A_ACVR1_ACVR2A","BMP","BMP8A","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (ACVR1+ACVR2A)"
"BMP8A_ACVR1_ACVR2B","BMP8A_ACVR1_ACVR2B","BMP","BMP8A","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (ACVR1+ACVR2B)"
"BMP8A_ACVR1_BMPR2","BMP8A_ACVR1_BMPR2","BMP","BMP8A","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (ACVR1+BMPR2)"
"BMP8A_BMPR1A_ACVR2A","BMP8A_BMPR1A_ACVR2A","BMP","BMP8A","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (BMPR1A+ACVR2A)"
"BMP8A_BMPR1A_ACVR2B","BMP8A_BMPR1A_ACVR2B","BMP","BMP8A","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (BMPR1A+ACVR2B)"
"BMP8A_BMPR1A_BMPR2","BMP8A_BMPR1A_BMPR2","BMP","BMP8A","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (BMPR1A+BMPR2)"
"BMP8A_BMPR1B_ACVR2A","BMP8A_BMPR1B_ACVR2A","BMP","BMP8A","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (BMPR1B+ACVR2A)"
"BMP8A_BMPR1B_ACVR2B","BMP8A_BMPR1B_ACVR2B","BMP","BMP8A","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (BMPR1B+ACVR2B)"
"BMP8A_BMPR1B_BMPR2","BMP8A_BMPR1B_BMPR2","BMP","BMP8A","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8A - (BMPR1B+BMPR2)"
"BMP8B_ACVR1_ACVR2A","BMP8B_ACVR1_ACVR2A","BMP","BMP8B","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (ACVR1+ACVR2A)"
"BMP8B_ACVR1_ACVR2B","BMP8B_ACVR1_ACVR2B","BMP","BMP8B","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (ACVR1+ACVR2B)"
"BMP8B_ACVR1_BMPR2","BMP8B_ACVR1_BMPR2","BMP","BMP8B","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (ACVR1+BMPR2)"
"BMP8B_BMPR1A_ACVR2A","BMP8B_BMPR1A_ACVR2A","BMP","BMP8B","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (BMPR1A+ACVR2A)"
"BMP8B_BMPR1A_ACVR2B","BMP8B_BMPR1A_ACVR2B","BMP","BMP8B","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (BMPR1A+ACVR2B)"
"BMP8B_BMPR1A_BMPR2","BMP8B_BMPR1A_BMPR2","BMP","BMP8B","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (BMPR1A+BMPR2)"
"BMP8B_BMPR1B_ACVR2A","BMP8B_BMPR1B_ACVR2A","BMP","BMP8B","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (BMPR1B+ACVR2A)"
"BMP8B_BMPR1B_ACVR2B","BMP8B_BMPR1B_ACVR2B","BMP","BMP8B","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (BMPR1B+ACVR2B)"
"BMP8B_BMPR1B_BMPR2","BMP8B_BMPR1B_BMPR2","BMP","BMP8B","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP8B - (BMPR1B+BMPR2)"
"BMP10_ACVRL1_BMPR2","BMP10_ACVRL1_BMPR2","BMP10","BMP10","ACVRL1_BMPR2","","","BMP10 activation receptor","","KEGG: hsa04350; PMID:26893264; PMID: 25620979","Secreted Signaling","BMP10 - (ACVRL1+BMPR2)"
"BMP10_ACVRL1_ACVR2A","BMP10_ACVRL1_ACVR2A","BMP10","BMP10","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: hsa04350; PMID:26893264; PMID: 25620979","Secreted Signaling","BMP10 - (ACVRL1+ACVR2A)"
"GDF2_ACVRL1_BMPR2","GDF2_ACVRL1_BMPR2","BMP10","GDF2","ACVRL1_BMPR2","","","BMP10 activation receptor","","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF2 - (ACVRL1+BMPR2)"
"GDF2_ACVRL1_ACVR2A","GDF2_ACVRL1_ACVR2A","BMP10","GDF2","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: hsa04350; PMID:26893264","Secreted Signaling","GDF2 - (ACVRL1+ACVR2A)"
"GDF9_ACVR1B_BMPR2","GDF9_ACVR1B_BMPR2","GDF","GDF9","ACVR1B_BMPR2","","","","","KEGG: hsa04350","Secreted Signaling","GDF9 - (ACVR1B+BMPR2)"
"GDF10_ACVR1B_ACVR2A","GDF10_ACVR1B_ACVR2A","GDF","GDF10","ACVR1B_ACVR2A","","","","","KEGG: hsa04350","Secreted Signaling","GDF10 - (ACVR1B+ACVR2A)"
"GDF11_TGFBR1_ACVR2A","GDF11_TGFBR1_ACVR2A","GDF","GDF11","TGFBR1_ACVR2A","","","","","KEGG: hsa04350","Secreted Signaling","GDF11 - (TGFBR1+ACVR2A)"
"GDF11_TGFBR1_ACVR2B","GDF11_TGFBR1_ACVR2B","GDF","GDF11","TGFBR1_ACVR2B","","","","","KEGG: hsa04350","Secreted Signaling","GDF11 - (TGFBR1+ACVR2B)"
"GDF11_ACVR1B_ACVR2B","GDF11_ACVR1B_ACVR2B","GDF","GDF11","ACVR1B_ACVR2B","","","","","KEGG: hsa04350","Secreted Signaling","GDF11 - (ACVR1B+ACVR2B)"
"GDF15_TGFBR2","GDF15_TGFBR2","GDF","GDF15","TGFBR2","","","","","KEGG: hsa04350","Secreted Signaling","GDF15 - TGFBR2"
"MSTN_TGFBR1_ACVR2B","MSTN_TGFBR1_ACVR2B","MSTN","MSTN","TGFBR1_ACVR2B","","","","","KEGG: hsa04060","Secreted Signaling","MSTN - (TGFBR1+ACVR2B)"
"MSTN_ACVR1B_ACVR2B","MSTN_ACVR1B_ACVR2B","MSTN","MSTN","ACVR1B_ACVR2B","","","","","KEGG: hsa04060","Secreted Signaling","MSTN - (ACVR1B+ACVR2B)"
"MSTN_ACVR1B_ACVR2A","MSTN_ACVR1B_ACVR2A","MSTN","MSTN","ACVR1B_ACVR2A","","","","","KEGG: hsa04060","Secreted Signaling","MSTN - (ACVR1B+ACVR2A)"
"MSTN_TGFBR1_ACVR2A","MSTN_TGFBR1_ACVR2A","MSTN","MSTN","TGFBR1_ACVR2A","","","","","KEGG: hsa04060","Secreted Signaling","MSTN - (TGFBR1+ACVR2A)"
"AMH_AMHR2_ACVR1","AMH_AMHR2_ACVR1","AMH","AMH","AMHR2_ACVR1","","","","","KEGG: hsa04060","Secreted Signaling","AMH - (AMHR2+ACVR1)"
"AMH_AMHR2_BMPR1A","AMH_AMHR2_BMPR1A","AMH","AMH","AMHR2_BMPR1A","","","","","KEGG: hsa04060","Secreted Signaling","AMH - (AMHR2+BMPR1A)"
"GDNF_GFRA1","GDNF_GFRA1","GDNF","GDNF","GFRA1_RET","","","","","PMID: 11544105","Secreted Signaling","GDNF - GFRA1"
"NRTN_GFRA2","NRTN_GFRA2","GDNF","NRTN","GFRA2_RET","","","","","PMID: 11544106","Secreted Signaling","NRTN - GFRA2"
"ARTN_GFRA3","ARTN_GFRA3","GDNF","ARTN","GFRA3_RET","","","","","PMID: 11544107","Secreted Signaling","ARTN - GFRA3"
"PSPN_GFRA4","PSPN_GFRA4","GDNF","PSPN","GFRA4_RET","","","","","PMID: 11544108","Secreted Signaling","PSPN - GFRA4"
"ARTN_GFRA1","ARTN_GFRA1","GDNF","ARTN","GFRA1_RET","","","","","PMID: 11544109","Secreted Signaling","ARTN - GFRA1"
